Index	Sentence	spd	gruene	fdp	Most likely
0	I. Präambel	0.7615618705749512	0.2070726603269577	0.03136548772454262	spd
1	Das  Ergebnis  der  Bundestagswahl  verstehen  unsere  drei  Parteien  als  Auftrag,  eine  gemeinsame   Regierungskoalition zu bilden.	0.9952186942100525	0.0018726346315816045	0.0029087115544825792	spd
2	Wir  haben  unterschiedliche  Traditionen  und  Perspektiven,  doch  uns  einen  die  Bereitschaft,   gemeinsam  Verantwortung  für  die  Zukunft  Deutschlands  zu  übernehmen,  das  Ziel,  die  notwendige   Modernisierung  voranzutreiben,  das  Bewusstsein,  dass  dieser  Fortschritt  auch  mit  einem   Sicherheitsversprechen einhergehen muss und die Zuversicht, dass dies gemeinsam gelingen kann.	1.4573221518432433e-09	0.042006462812423706	0.9579935073852539	fdp
3	Wir   verpflichten uns, dem Wohle aller Bürgerinnen und Bürger zu dienen.	0.9886559247970581	0.006831709295511246	0.004512343555688858	spd
4	Was das Land herausfordert   Wir  übernehmen  Verantwortung  in  einer  Zeit,  in  der  die  Corona-Pandemie  das  Land  weiter  stark   belastet.	0.7614197134971619	0.0014182887971401215	0.2371620088815689	spd
5	Sie bedeutet für viele großes Leid, geht einher mit existenziellen Sorgen und verlangt allen   erhebliche Einschränkungen ab.	0.06651317328214645	0.8965498208999634	0.036937061697244644	gruene
6	Die Pandemie zu besiegen, ist in diesen Tagen unsere vordringlichste   Aufgabe, der wir uns mit voller Kraft widmen.	0.01131424494087696	0.03123391978442669	0.9574518203735352	fdp
7	Die notwendigen Schutzmaßnahmen umzusetzen und   einen umfassenden Impfschutz voranzutreiben, ist eine gesamtstaatliche und gesamtgesellschaftliche   Aufgabe.	0.001108816359192133	0.031007159501314163	0.9678840041160583	fdp
8	Die Welt ist am Beginn eines Jahrzehnts im Umbruch, deshalb können wir nicht im Stillstand verharren.	0.0004339032748248428	0.0002045950386673212	0.9993614554405212	fdp
9	Die Klimakrise gefährdet unsere Lebensgrundlagen und bedroht Freiheit, Wohlstand und Sicherheit.	2.3681712146839118e-09	0.9930330514907837	0.006966938264667988	gruene
10	Deutschland  und  Europa  müssen  angesichts  eines  verschärften  globalen  Wettbewerbs   ihre   ökonomische  Stärke  neu  begründen.	0.12502793967723846	0.8575048446655273	0.017467182129621506	gruene
11	Im  internationalen  Systemwettstreit  gilt  es,  unsere  Werte   entschlossen mit demokratischen Partnern zu verteidigen.	0.987381100654602	0.010450396686792374	0.0021684516686946154	spd
12	Zugleich verändert die Digitalisierung die   Art und Weise wie wir wirtschaften, arbeiten und miteinander kommunizieren.	8.910753422242124e-06	0.9812553524971008	0.018735745921730995	gruene
13	Unsere Gesellschaft   wird älter und diverser.	0.8293845057487488	0.12545658648014069	0.04515891149640083	spd
14	Auch gilt es, gesellschaftliche Spannungen in Zeiten des schnellen Wandels zu   reduzieren und das Vertrauen in unsere Demokratie zu stärken.	0.09395267814397812	0.0017530110199004412	0.9042943716049194	fdp
15	Diese  Herausforderungen  sind   immens,  miteinander  verwoben  und   in   ihrer  Gleichzeitigkeit   anspruchsvoll.	0.9517231583595276	0.006790562067180872	0.041486188769340515	spd
16	Sie werden das Land und die Gesellschaft über lange Zeit prägen.	1.5015812593333067e-08	6.671709707006812e-05	0.9999332427978516	fdp
17	Doch wenn wir diese   Umbrüche  gestalten,  liegen  auch  große  Chancen  darin.	0.9794632196426392	0.010828071273863316	0.009708714671432972	spd
18	Aufgabe  dieser  Koalition  ist  es,  die  dafür   nötigen Neuerungen politisch anzuschieben und Orientierung zu geben.	2.0234210751368664e-05	0.0011729518882930279	0.9988068342208862	fdp
19	Damit wollen wir eine neue   Dynamik auslösen, die in die gesamte Gesellschaft hineinwirkt.	0.99164879322052	0.00022247822198551148	0.008128704503178596	spd
20	Was wir voranbringen wollen   Deutschland wird nur auf der Höhe der Zeit agieren können, wenn wir den Staat selbst modernisieren.	0.0913727879524231	0.0021612481214106083	0.9064659476280212	fdp
21	Wir  wollen  staatliches  Handeln  schneller  und  effektiver  machen  und  besser  auf  künftige  Krisen   vorbereiten.	0.9409154057502747	0.00014428625581786036	0.0589403472840786	spd
22	Wir bringen eine umfassende Digitalisierung der Verwaltung voran.	0.023780297487974167	0.9067903757095337	0.06942930817604065	gruene
23	Es geht darum, das   Leben für die Bürgerinnen und Bürger leichter zu machen.	7.965036638779566e-05	0.0033245321828871965	0.9965957999229431	fdp
24	Wir werden die öffentliche Infrastruktur,   öffentliche  Räume  und  Netze  modernisieren  und  dafür  Planung,  Genehmigung  und  Umsetzung   deutlich beschleunigen.	0.0010691570350900292	0.9904583692550659	0.008472485467791557	gruene
